,종명,접수일시,도로유형,도로명
0,고라니,2019-12-31,고속국도(재정),동해고속도로
1,고라니,2019-12-31,고속국도(재정),동해고속도로
2,고라니,2019-12-31,고속국도(재정),동해고속도로
3,고라니,2019-12-31,시도,장수로
4,고양이,2019-12-31,국도,강원남로
5,고라니,2019-12-31,고속국도(재정),동해고속도로
6,고라니,2019-12-31,국도,일반국도1호선
7,고라니,2019-12-31,국도,일반국도14호선
8,고라니,2019-12-31,국도,일반국도23호선
9,고라니,2019-12-31,국도,일반국도42호선
10,고라니,2019-12-31,국도,일반국도36호선
11,너구리,2019-12-31,시도,삼진의거대로
12,고라니,2019-12-31,국도,일반국도42호선
13,고라니,2019-12-31,국도,일반국도23호선
14,고라니,2019-12-31,고속국도(재정),군포로
15,고라니,2019-12-31,국도,43
16,고라니,2019-12-31,지방도,대호만로
17,고라니,2019-12-31,고속국도(재정),익산포항고속도로
18,노루,2019-12-31,지방도,지방도1119호선
19,노루,2019-12-31,지방도,지방도1119호선
20,고라니,2019-12-31,국도,일반국도1호선
21,고양이,2019-12-31,국도,6
22,고라니,2019-12-31,국도,6
23,고라니,2019-12-31,국도,일반국도30호선
24,미동정(포유류),2019-12-31,국도,일반국도38호선
25,고양이,2019-12-31,시도,남부로
26,고라니,2019-12-31,국도,일반국도38호선
27,고양이,2019-12-31,국도,경북대로
28,미동정(포유류),2019-12-31,국도,강원남로
29,미동정(포유류),2019-12-31,국도,강원남로
30,고라니,2019-12-30,고속국도(재정),익산포항고속도로
31,개,2019-12-30,고속국도(재정),익산포항고속도로
32,개,2019-12-30,국도,일반국도14호선
33,고라니,2019-12-30,국도,일반국도14호선
34,개,2019-12-30,국도,일반국도14호선
35,고라니,2019-12-30,국도,일반국도1호선
36,미동정(포유류),2019-12-30,국도,일반국도77호선
37,고라니,2019-12-30,국도,진성로
38,고양이,2019-12-30,국도,변산로
39,고라니,2019-12-30,고속국도(민자),평택음성고속도로
40,꿩,2019-12-30,국도,진성로
41,고라니,2019-12-30,국도,진성로
42,고라니,2019-12-30,국도,일반국도36호선
43,삵,2019-12-30,국도,일반국도30호선
44,고라니,2019-12-30,국도,일반국도13호선
45,개,2019-12-30,국도,일반국도13호선
46,고라니,2019-12-30,국도,일반국도3호선
47,미동정(포유류),2019-12-30,국도,칠갑산1로
48,고라니,2019-12-30,국도,칠갑산로
49,고라니,2019-12-30,고속국도(재정),영동고속도로
50,고양이,2019-12-30,고속국도(재정),익산포항고속도로
51,고라니,2019-12-30,고속국도(재정),중부고속도로
52,고라니,2019-12-30,국도,일반국도3호선
53,고라니,2019-12-30,국도,신초평로
54,삵,2019-12-30,국도,일반국도5호선
55,너구리,2019-12-30,국도,전진로
56,개,2019-12-30,국도,일반국도45호선
57,삵,2019-12-30,국도,구성지례로
58,고라니,2019-12-30,국도,일반국도3호선
59,고라니,2019-12-30,국도,일반국도36호선
60,고라니,2019-12-30,국도,43
61,고라니,2019-12-30,지방도,금암로
62,너구리,2019-12-30,국도,생음대로
63,고라니,2019-12-30,국도,경강로
64,고양이,2019-12-30,국도,일반국도25호선
65,꿩,2019-12-30,지방도,지방도649호선
66,삵,2019-12-30,국도,일반국도3호선
67,고라니,2019-12-30,국도,일반국도36호선
68,고양이,2019-12-30,국도,6
69,삵,2019-12-30,국도,일반국도27호선
70,고라니,2019-12-30,지방도,지방도649호선
71,너구리,2019-12-30,국도,일반국도33호선
72,고양이,2019-12-30,지방도,지방도649호선
73,삵,2019-12-30,국도,일반국도34호선
74,고양이,2019-12-30,지방도,지방도442호선
75,고양이,2019-12-30,국도,일반국도14호선
76,고라니,2019-12-30,국도,일반국도34호선
77,삵,2019-12-30,국도,파인토피아로
78,고라니,2019-12-30,국도,죽령로
79,멧토끼,2019-12-30,국도,파인토피아로
80,고라니,2019-12-30,국도,일반국도20호선
81,고라니,2019-12-30,국도,남부로
82,고라니,2019-12-30,고속국도(재정),울산고속도로
83,미동정(조류),2019-12-29,국도,일반국도14호선
84,고라니,2019-12-29,국도,가야로
85,고라니,2019-12-29,국도,일반국도34호선
86,삵,2019-12-29,국도,가야로
87,고라니,2019-12-29,국도,차동로
88,고라니,2019-12-29,국도,경북대로
89,고양이,2019-12-29,국도,6
90,고라니,2019-12-29,국도,영남대로
91,고라니,2019-12-29,국도,일반국도32호선
92,고라니,2019-12-29,국도,의령대로
93,고라니,2019-12-29,국도,일반국도3호선
94,노루,2019-12-29,지방도,지방도1119호선
95,노루,2019-12-29,지방도,지방도1136호선
96,노루,2019-12-29,지방도,지방도1115호선
97,고양이,2019-12-28,국도,37
98,고라니,2019-12-28,국도,46
99,고라니,2019-12-28,고속국도(재정),중앙고속도로
100,삵,2019-12-28,국도,일반국도14호선
101,고라니,2019-12-28,국도,일반국도14호선
102,고양이,2019-12-28,국도,일반국도38호선
103,고라니,2019-12-28,국도,6
104,고라니,2019-12-28,국도,일반국도23호선
105,너구리,2019-12-28,국도,일반국도23호선
106,고라니,2019-12-28,고속국도(재정),서울양양고속도로
107,고라니,2019-12-28,국도,일반국도38호선
108,고라니,2019-12-28,국도,일반국도5호선
109,너구리,2019-12-28,국도,일반국도3호선
110,노루,2019-12-28,지방도,지방도1135호선
111,고라니,2019-12-28,고속국도(재정),순천완주고속도로
112,고라니,2019-12-28,고속국도(재정),통영대전고속도로
113,고라니,2019-12-28,고속국도(재정),35
114,고라니,2019-12-27,시도,아미로
115,고라니,2019-12-27,국도,일반국도31호선
116,고양이,2019-12-27,시도,일반국도32호선
117,고양이,2019-12-27,국도,47
118,고양이,2019-12-27,국도,47
119,고양이,2019-12-27,국도,일반국도38호선
120,개,2019-12-27,국도,일반국도1호선
121,고라니,2019-12-27,국도,일반국도1호선
122,고라니,2019-12-27,국도,일반국도45호선
123,너구리,2019-12-27,국도,일반국도3호선
124,고라니,2019-12-27,국도,일반국도38호선
125,고라니,2019-12-27,국도,우주항공로
126,고양이,2019-12-27,국도,상경로
127,고라니,2019-12-27,고속국도(재정),동해고속도로
128,고라니,2019-12-27,국도,일반국도3호선
129,고라니,2019-12-27,국도,상경로
130,고라니,2019-12-27,국도,일반국도3호선
131,고라니,2019-12-27,고속국도(재정),평택제천고속도로
132,고라니,2019-12-27,국도,생음대로
133,개,2019-12-27,국도,충민로
134,고라니,2019-12-27,국도,충민로
135,고라니,2019-12-27,국도,대청로
136,족제비,2019-12-27,국도,일반국도36호선
137,고양이,2019-12-27,국도,생음대로
138,멧돼지,2019-12-27,국도,생음대로
139,고라니,2019-12-27,국도,우주항공로
140,고라니,2019-12-27,국도,생음대로
141,개,2019-12-27,고속국도(재정),영동고속도로
142,고라니,2019-12-27,국도,일반국도38호선
143,고양이,2019-12-27,국도,일반국도36호선
144,고라니,2019-12-27,국도,일반국도3호선
145,고라니,2019-12-27,국도,일반국도3호선
146,고라니,2019-12-27,국도,일반국도36호선
147,고라니,2019-12-27,시도,충절로
148,개,2019-12-27,시도,-
149,노루,2019-12-27,지방도,지방도1115호선
150,고라니,2019-12-27,국도,일반국도43호선
151,삵,2019-12-27,국도,일반국도27호선
152,고양이,2019-12-27,국도,일반국도25호선
153,고양이,2019-12-27,국도,대청로
154,고라니,2019-12-27,국도,일반국도27호선
155,고라니,2019-12-27,국도,일반국도25호선
156,고라니,2019-12-27,국도,일반국도45호선
157,고양이,2019-12-27,시도,남김천대로
158,고라니,2019-12-27,국도,일반국도45호선
159,고양이,2019-12-27,지방도,지방도411호선
160,멧토끼,2019-12-27,국도,일반국도34호선
161,고라니,2019-12-27,시도,-
162,고양이,2019-12-27,지방도,남부로
163,족제비,2019-12-27,국도,예영로
164,고양이,2019-12-27,국도,일반국도23호선
165,너구리,2019-12-27,국도,일반국도14호선
166,수달,2019-12-27,지방도,지방도411호선
167,삵,2019-12-27,국도,예영로
168,고라니,2019-12-27,국도,일반국도7호선
169,고라니,2019-12-27,지방도,지방도611호선
170,고라니,2019-12-27,국도,3
171,고라니,2019-12-27,지방도,지방도624호선
172,고라니,2019-12-26,시도,무궁화로
173,고라니,2019-12-26,고속국도(재정),중앙고속도로
174,고양이,2019-12-26,고속국도(재정),중앙고속도로
175,고라니,2019-12-26,고속국도(재정),서해안고속도로
176,너구리,2019-12-26,시도,중앙로
177,너구리,2019-12-26,국도,일반국도33호선
178,고양이,2019-12-26,국도,국가지원지방도60
179,고라니,2019-12-26,국도,일반국도37호선
180,고양이,2019-12-26,국도,6
181,고양이,2019-12-26,국도,일반국도19호선
182,삵,2019-12-26,국도,영남대로
183,고라니,2019-12-26,국도,일반국도19호선
184,개,2019-12-26,지방도,대호만로
185,고라니,2019-12-26,국도,일반국도37호선
186,고라니,2019-12-26,국도,37
187,고라니,2019-12-26,국도,45
188,고라니,2019-12-26,국도,일반국도14호선
189,고라니,2019-12-26,국도,일반국도1호선
190,개,2019-12-26,국도,3
191,고라니,2019-12-26,국도,일반국도17호선
192,고라니,2019-12-26,고속국도(재정),당진영덕고속도로
193,족제비,2019-12-26,국도,일반국도34호선
194,고라니,2019-12-26,국도,일반국도38호선
195,삵,2019-12-26,국도,일반국도13호선
196,고라니,2019-12-26,국도,일반국도34호선
197,너구리,2019-12-26,고속국도(재정),천안논산고속도로
198,너구리,2019-12-26,국도,일반국도28호선
199,삵,2019-12-26,지방도,지방도649호선
200,너구리,2019-12-26,지방도,지방도649호선
201,고라니,2019-12-26,국도,영동로
202,개,2019-12-26,지방도,지방도615호선
203,고라니,2019-12-26,고속국도(재정),당진영덕고속도로
204,고양이,2019-12-26,국도,일반국도30호선
205,고라니,2019-12-26,국도,일반국도7호선
206,고라니,2019-12-26,국도,6
207,너구리,2019-12-26,국도,합천대로
208,고라니,2019-12-26,국도,일반국도42호선
209,고라니,2019-12-26,고속국도(재정),영동고속도로
210,고라니,2019-12-26,고속국도(재정),평택-시흥고속국도
211,고라니,2019-12-26,고속국도(재정),중부고속도로
212,고라니,2019-12-25,고속국도(재정),부산울산고속도로
213,고양이,2019-12-25,지방도,남부로
214,고양이,2019-12-25,시도,동부1로
215,고라니,2019-12-25,지방도,대호만로
216,고라니,2019-12-25,지방도,대호만로
217,고라니,2019-12-25,지방도,대호만로
218,고라니,2019-12-25,국도,일반국도33호선
219,고라니,2019-12-25,국도,국가지원지방도82호선
220,고라니,2019-12-24,국도,일반국도36호선
221,고양이,2019-12-24,국도,일반국도34호선
222,고라니,2019-12-24,국도,우주항공로
223,고라니,2019-12-24,국도,일반국도34호선
224,고라니,2019-12-24,국도,일반국도34호선
225,고라니,2019-12-24,국도,일반국도34호선
226,고라니,2019-12-24,국도,일반국도23호선
227,고라니,2019-12-24,국도,일반국도1호선
228,고양이,2019-12-24,국도,일반국도23호선
229,너구리,2019-12-24,국도,낙동대로
230,고라니,2019-12-24,지방도,지방도1호선
231,고라니,2019-12-24,국도,낙동대로
232,너구리,2019-12-24,고속국도(재정),서해안고속도로
233,고양이,2019-12-24,국도,46
234,고양이,2019-12-24,국도,일반국도1호선
235,고라니,2019-12-24,국도,6
236,너구리,2019-12-24,국도,일반국도1호선
237,고양이,2019-12-24,국도,일반국도1호선
238,고양이,2019-12-24,고속국도(재정),당진영덕고속도로
239,개,2019-12-24,고속국도(재정),당진영덕고속도로
240,고라니,2019-12-24,국도,일반국도3호선
241,고라니,2019-12-24,국도,일반국도25호선
242,고라니,2019-12-24,국도,대청로
243,고양이,2019-12-24,국도,일반국도1호선
244,고라니,2019-12-24,국도,서해로
245,고라니,2019-12-24,고속국도(재정),당진영덕고속도로
246,고라니,2019-12-24,국도,중부로
247,너구리,2019-12-24,국도,일반국도19호선
248,고라니,2019-12-24,국도,일반국도3호선
249,미동정(포유류),2019-12-24,국도,일반국도36호선
250,고양이,2019-12-24,국도,일반국도36호선
251,고라니,2019-12-24,시도,영주국도대체우회도로
252,노루,2019-12-24,지방도,지방도1118호선
253,고라니,2019-12-24,국도,일반국도3호선
254,고라니,2019-12-24,지방도,음봉로
255,고라니,2019-12-24,국도,일반국도23호선
256,고라니,2019-12-24,국도,일반국도33호선
257,노루,2019-12-24,지방도,지방도1131호선
258,미동정(조류),2019-12-24,국도,일반국도20호선
259,고라니,2019-12-24,국도,경강로
260,고라니,2019-12-24,지방도,지방도649호선
261,미동정(포유류),2019-12-24,지방도,지방도1041호선
262,고라니,2019-12-24,국도,일반국도38호선
263,고라니,2019-12-23,고속국도(재정),부산외곽순환고속도로
264,고라니,2019-12-23,국도,일반국도36호선
265,고라니,2019-12-23,지방도,지방도633호선
266,고양이,2019-12-23,국도,지방도60호선
267,고라니,2019-12-23,국도,대청로
268,고라니,2019-12-23,국도,일반국도1호선
269,고라니,2019-12-23,국도,일반국도34호선
270,너구리,2019-12-23,국도,난계로
271,고양이,2019-12-23,국도,구성지례로
272,고라니,2019-12-23,국도,국도34호선
273,고양이,2019-12-23,국도,일반국도58호선
274,고라니,2019-12-23,국도,난계로
275,개,2019-12-23,지방도,솔안말길
276,고라니,2019-12-23,국도,일반국도38호선
277,고라니,2019-12-23,국도,일반국도38호선
278,고라니,2019-12-23,국도,난계로
279,고양이,2019-12-23,고속국도(재정),영동고속도로
280,고양이,2019-12-23,고속국도(재정),영동고속도로
281,삵,2019-12-23,국도,일반국도34호선
282,고양이,2019-12-23,국도,일반국도3호선
283,개,2019-12-23,고속국도(재정),영동고속도로
284,너구리,2019-12-23,고속국도(재정),영동고속도로
285,고라니,2019-12-23,국도,46
286,고양이,2019-12-23,고속국도(재정),영동고속도로
287,삵,2019-12-23,고속국도(재정),영동고속도로
288,쇠기러기,2019-12-23,지방도,지방도633호선
289,고라니,2019-12-23,국도,일반국도14호선
290,고양이,2019-12-23,지방도,고원남로
291,고라니,2019-12-23,국도,국도34호선
292,고양이,2019-12-23,국도,46
293,고라니,2019-12-23,국도,일반국도38호선
294,고라니,2019-12-23,국도,문경대로
295,고라니,2019-12-23,지방도,일반국도32호선
296,고라니,2019-12-23,국도,일반국도17호선
297,너구리,2019-12-23,국도,일반국도4호선
298,고라니,2019-12-23,국도,일반국도20호선
299,고라니,2019-12-23,국도,일반국도13호선
300,고양이,2019-12-23,시도,무수동로
301,너구리,2019-12-23,국도,강원남로
302,고라니,2019-12-23,국도,일반국도34호선
303,고라니,2019-12-23,국도,일반국도13호선
304,고라니,2019-12-23,국도,일반국도13호선
305,고라니,2019-12-23,국도,일반국도13호선
306,미동정(포유류),2019-12-23,국도,일반국도25호선
307,고양이,2019-12-23,국도,일반국도13호선
308,개,2019-12-23,국도,일반국도13호선
309,고라니,2019-12-23,국도,남순환로
310,고양이,2019-12-23,국도,일반국도3호선
311,고라니,2019-12-23,국도,일반국도1호선
312,고라니,2019-12-23,국도,대백제로
313,고라니,2019-12-23,국도,일반국도13호선
314,고양이,2019-12-23,국도,6
315,삵,2019-12-23,국도,대청로
316,고라니,2019-12-23,국도,일반국도3호선
317,고라니,2019-12-23,국도,일반국도20호선
318,고라니,2019-12-23,국도,일반국도3호선
319,고라니,2019-12-23,국도,일반국도34호선
320,고라니,2019-12-23,지방도,합덕산단4로
321,고라니,2019-12-23,국도,일반국도3호선
322,고라니,2019-12-23,국도,일반국도19호선
323,고라니,2019-12-23,국도,일반국도34호선
324,고라니,2019-12-23,국도,진고개로
325,고라니,2019-12-23,국도,일반국도4호선
326,개,2019-12-23,국도,일반국도39호선
327,고양이,2019-12-23,지방도,지방도649호선
328,고양이,2019-12-23,국도,일반국도36호선
329,염소,2019-12-23,국도,가야로
330,고양이,2019-12-23,국도,지방도60호선
331,삵,2019-12-23,국도,강원남로
332,고라니,2019-12-22,국도,일반국도4호선
333,고라니,2019-12-22,국도,일반국도19호선
334,고양이,2019-12-22,지방도,대호만로
335,개,2019-12-22,국도,강원남로
336,고라니,2019-12-22,국도,일반국도59호선
337,고라니,2019-12-22,국도,모악로
338,고라니,2019-12-22,국도,일반국도17호선
339,고라니,2019-12-22,국도,영남대로
340,고양이,2019-12-22,국도,영남대로
341,고라니,2019-12-22,국도,일반국도17호선
342,고라니,2019-12-22,국도,일반국도17호선
343,고라니,2019-12-22,국도,일반국도27호선
344,고라니,2019-12-22,국도,일반국도1호선
345,고라니,2019-12-22,국도,예당평야로
346,고라니,2019-12-22,국도,예당평야로
347,고라니,2019-12-22,고속국도(재정),당진영덕고속도로
348,삵,2019-12-22,국도,파인토피아로
349,너구리,2019-12-22,국도,합천대로
350,고양이,2019-12-22,국도,일반국도34호선
351,삵,2019-12-22,국도,파인토피아로
352,고라니,2019-12-22,국도,북부산업로
353,고라니,2019-12-22,국도,북부산업로
354,고양이,2019-12-22,국도,일반국도38호선
355,노루,2019-12-22,지방도,지방도1117호선
356,고양이,2019-12-22,국도,합천대로
357,고라니,2019-12-22,국도,일반국도38호선
358,고라니,2019-12-22,고속국도(재정),당진영덕고속도로
359,고라니,2019-12-22,고속국도(재정),대전남부순환고속도로
360,고라니,2019-12-22,고속국도(재정),통영대전고속도로
361,고양이,2019-12-21,국도,39
362,개,2019-12-21,국도,3
363,미동정(포유류),2019-12-21,지방도,지방도633호선
364,고양이,2019-12-21,시도,서정2길
365,고라니,2019-12-21,국도,일반국도5호선
366,너구리,2019-12-21,국도,합천대로
367,고양이,2019-12-21,국도,6
368,고라니,2019-12-21,국도,44
369,미동정(포유류),2019-12-21,고속국도(재정),영동고속도로
370,고라니,2019-12-21,국도,섬진강대로
371,고라니,2019-12-21,국도,일반국도27호선
372,고라니,2019-12-21,지방도,지방도510호선
373,노루,2019-12-21,지방도,지방도1132호선
374,고라니,2019-12-21,국도,전진로
375,고양이,2019-12-21,국도,6
376,너구리,2019-12-21,지방도,초락2로
377,까마귀,2019-12-21,국도,6
378,고양이,2019-12-21,국도,일반국도2호선
379,노루,2019-12-21,지방도,지방도1117호선
380,노루,2019-12-21,지방도,지방도1117호선
381,고라니,2019-12-21,시도,봉화로
382,멧돼지,2019-12-21,고속국도(재정),동해고속도로
383,개,2019-12-21,고속국도(재정),영동고속도로
384,노루,2019-12-20,지방도,지방도1117호선
385,고라니,2019-12-20,국도,일반국도33호선
386,고라니,2019-12-20,국도,계백로
387,고양이,2019-12-20,지방도,지방도1037호선
388,고라니,2019-12-20,국도,일반국도32호선
389,고양이,2019-12-20,국도,영나로
390,삵,2019-12-20,국도,일반국도33호선
391,고라니,2019-12-20,국도,일반국도34호선
392,고라니,2019-12-20,국도,일반국도17호선
393,고라니,2019-12-20,국도,일반국도17호선
394,개,2019-12-20,고속국도(재정),영동고속도로
395,고양이,2019-12-20,국도,일반국도25호선
396,개,2019-12-20,시도,반촌로
397,집비둘기,2019-12-20,시도,용문로
398,고양이,2019-12-20,국도,일반국도3호선
399,개,2019-12-20,국도,파인토피아로
400,고양이,2019-12-20,국도,일반국도5호선
401,고라니,2019-12-20,국도,일반국도1호선
402,고라니,2019-12-20,국도,일반국도5호선
403,고양이,2019-12-20,국도,일반국도14호선
404,너구리,2019-12-20,국도,일반국도19호선
405,고라니,2019-12-20,국도,남해안대로
406,고양이,2019-12-20,지방도,지방도615호선
407,고라니,2019-12-20,국도,일반국도30호선
408,미동정(포유류),2019-12-20,고속국도(재정),중부내륙고속도로
409,삵,2019-12-20,국도,파인토피아로
410,고라니,2019-12-20,국도,일반국도38호선
411,고라니,2019-12-20,국도,일반국도34호선
412,고양이,2019-12-20,국도,일반국도30호선
413,고라니,2019-12-20,고속국도(재정),영동고속도로
414,고라니,2019-12-20,지방도,지방도607호선
415,고라니,2019-12-20,국도,일반국도3호선
416,너구리,2019-12-20,국도,일반국도5호선
417,멧돼지,2019-12-20,국도,일반국도38호선
418,고라니,2019-12-20,국도,강원남로
419,고라니,2019-12-20,고속국도(재정),서해안고속도로
420,고라니,2019-12-20,국도,일반국도3호선
421,고양이,2019-12-19,시도,백암1길
422,삵,2019-12-19,국도,남순환로
423,너구리,2019-12-19,시도,신평화로
424,고양이,2019-12-19,국도,일반국도14호선
425,고라니,2019-12-19,시도,일반국도36호선
426,미동정(포유류),2019-12-19,국도,우주항공로
427,고라니,2019-12-19,지방도,석문방조제로
428,고라니,2019-12-19,지방도,지방도615호선
429,고라니,2019-12-19,국도,일반국도36호선
430,고라니,2019-12-19,국도,일반국도38호선
431,꿩,2019-12-19,국도,45
432,고라니,2019-12-19,국도,일반국도29호선
433,고라니,2019-12-19,국도,일반국도34호선
434,너구리,2019-12-19,국도,일반국도3호선
435,고라니,2019-12-19,국도,일반국도34호선
436,고라니,2019-12-19,국도,37
437,고양이,2019-12-19,국도,37
438,개,2019-12-19,국도,37
439,고라니,2019-12-19,고속국도(재정),당진영덕고속도로
440,고라니,2019-12-19,국도,일반국도38호선
441,고라니,2019-12-19,국도,일반국도38호선
442,고라니,2019-12-19,지방도,지방도611호선
443,고라니,2019-12-19,고속국도(재정),중부내륙고속도로
444,고라니,2019-12-19,국도,생거진천로
445,고라니,2019-12-19,국도,생음대로
446,고라니,2019-12-19,국도,일반국도33호선
447,고라니,2019-12-19,국도,일반국도3호선
448,고라니,2019-12-19,국도,일반국도17호선
449,고라니,2019-12-19,국도,일반국도3호선
450,너구리,2019-12-19,고속국도(재정),평택제천고속도로
451,꿩,2019-12-19,국도,일반국도3호선
452,고라니,2019-12-19,국도,호남로
453,고양이,2019-12-19,국도,경북대로
454,고라니,2019-12-19,국도,경북대로
455,삵,2019-12-19,국도,일반국도2호선
456,고양이,2019-12-19,지방도,지방도606호선
457,고라니,2019-12-19,국도,일반국도1호선
458,고라니,2019-12-18,고속국도(재정),당진영덕고속도로
459,고양이,2019-12-18,지방도,남부로
460,고라니,2019-12-18,국도,정읍대로
461,너구리,2019-12-18,국도,일반국도30호선
462,고양이,2019-12-18,국도,일반국도30호선
463,개,2019-12-18,지방도,지방도622호선
464,고양이,2019-12-18,국도,47
465,고라니,2019-12-18,국도,문경대로
466,고라니,2019-12-18,국도,일반국도15호선
467,고양이,2019-12-18,고속국도(재정),서해안고속도로
468,너구리,2019-12-18,국도,일반국도14호선
469,고라니,2019-12-18,국도,생음대로
470,고라니,2019-12-18,국도,일반국도17호선
471,고라니,2019-12-18,국도,진성로
472,고라니,2019-12-18,국도,37
473,고양이,2019-12-18,고속국도(재정),평택제천고속도로
474,고라니,2019-12-18,지방도,지방도615호선
475,고라니,2019-12-18,국도,일반국도32호선
476,고라니,2019-12-18,국도,47
477,고라니,2019-12-18,국도,구성지례로
478,미동정(포유류),2019-12-18,지방도,지방도615호선
479,고라니,2019-12-18,국도,3
480,고라니,2019-12-18,국도,일반국도38호선
481,고라니,2019-12-18,국도,일반국도38호선
482,고라니,2019-12-18,고속국도(재정),중앙고속도로
483,고라니,2019-12-18,국도,6
484,고라니,2019-12-18,시도,일반국도22호선
485,고양이,2019-12-18,국도,일반국도27호선
486,고라니,2019-12-18,국도,일반국도25호선
487,고라니,2019-12-18,국도,일반국도20호선
488,너구리,2019-12-18,국도,일반국도1호선
489,너구리,2019-12-18,국도,칠갑산1로
490,고라니,2019-12-18,국도,일반국도14호선
491,고라니,2019-12-18,국도,예영로
492,고라니,2019-12-18,고속국도(재정),서해안고속도로
493,고양이,2019-12-18,국도,강원남로
494,고라니,2019-12-18,고속국도(재정),광주대구고속도로
495,고라니,2019-12-18,고속국도(재정),서해안고속도로
496,고라니,2019-12-18,고속국도(재정),당진영덕고속도로
497,고라니,2019-12-17,고속국도(재정),당진영덕고속도로
498,고라니,2019-12-17,고속국도(재정),동해고속도로
499,고라니,2019-12-17,고속국도(재정),당진영덕고속도로
500,고라니,2019-12-17,국도,일반국도25호선
501,미동정(포유류),2019-12-17,국도,6
502,고라니,2019-12-17,국도,일반국도38호선
503,고라니,2019-12-17,고속국도(재정),동해고속도로
504,너구리,2019-12-17,국도,일반국도38호선
505,고라니,2019-12-17,국도,일반국도5호선
506,고양이,2019-12-17,국도,일반국도19호선
507,고라니,2019-12-17,국도,진성로
508,고라니,2019-12-17,국도,일반국도1호선
509,너구리,2019-12-17,국도,일반국도38호선
510,고양이,2019-12-17,국도,모악로
511,고라니,2019-12-17,국도,일반국도17호선
512,너구리,2019-12-17,국도,일반국도38호선
513,고라니,2019-12-17,국도,일반국도17호선
514,고라니,2019-12-17,국도,생음대로
515,고라니,2019-12-17,국도,일반국도38호선
516,고라니,2019-12-17,국도,충절로
517,너구리,2019-12-17,시도,충절로
518,고양이,2019-12-17,국도,37
519,너구리,2019-12-17,국도,난계로
520,고라니,2019-12-17,국도,일반국도3호선
521,고라니,2019-12-17,국도,37
522,고양이,2019-12-17,국도,국도77호선
523,고라니,2019-12-17,국도,일반국도34호선
524,고라니,2019-12-17,국도,일반국도28호선
525,고라니,2019-12-17,국도,일반국도36호선
526,고양이,2019-12-17,국도,일반국도4호선
527,미동정(조류),2019-12-17,지방도,지방도1041호선
528,고라니,2019-12-17,국도,대청로
529,개,2019-12-17,지방도,일반국도20호선
530,고라니,2019-12-17,국도,경북대로
531,고라니,2019-12-16,시도,민락로
532,고라니,2019-12-16,고속국도(재정),광주대구고속도로
533,고라니,2019-12-16,국도,43
534,고라니,2019-12-16,고속국도(재정),호남고속도로지선
535,개,2019-12-16,국도,일반국도32호선
536,개,2019-12-16,국도,서해로
537,고라니,2019-12-16,국도,일반국도3호선
538,너구리,2019-12-16,국도,일반국도34호선
539,고라니,2019-12-16,국도,6
540,고양이,2019-12-16,국도,예영로
541,고라니,2019-12-16,지방도,지방도510호선
542,개,2019-12-16,국도,37
543,고라니,2019-12-16,국도,일반국도22호선
544,삵,2019-12-16,국도,일반국도37호선
545,고라니,2019-12-16,고속국도(재정),중부고속도로
546,고라니,2019-12-16,국도,일반국도17호선
547,너구리,2019-12-16,국도,45
548,고라니,2019-12-16,국도,일반국도17호선
549,개,2019-12-16,국도,일반국도13호선
550,고양이,2019-12-16,국도,46
551,고라니,2019-12-16,국도,일반국도30호선
552,너구리,2019-12-16,국도,46
553,고라니,2019-12-16,국도,일반국도22호선
554,고라니,2019-12-16,국도,일반국도13호선
555,고라니,2019-12-16,국도,정읍대로
556,삵,2019-12-16,국도,정읍대로
557,고양이,2019-12-16,국도,일반국도32호선
558,고라니,2019-12-16,국도,일반국도17호선
559,고라니,2019-12-16,지방도,지방도622호선
560,너구리,2019-12-16,국도,일반국도13호선
561,삵,2019-12-16,국도,일반국도13호선
562,고라니,2019-12-16,국도,일반국도13호선
563,고라니,2019-12-16,국도,일반국도13호선
564,고라니,2019-12-16,국도,하공로
565,고라니,2019-12-16,국도,일반국도38호선
566,고라니,2019-12-16,국도,3
567,너구리,2019-12-16,국도,3
568,삵,2019-12-16,국도,강원남로
569,고라니,2019-12-16,국도,일반국도38호선
570,고양이,2019-12-16,국도,상정대로
571,고라니,2019-12-16,지방도,지방도633호선
572,개,2019-12-16,지방도,지방도633호선
573,고양이,2019-12-16,국도,일반국도23호선
574,고양이,2019-12-16,국도,일반국도23호선
575,고라니,2019-12-16,국도,북부산업로
576,고라니,2019-12-16,국도,일반국도38호선
577,고라니,2019-12-16,국도,일반국도17호선
578,너구리,2019-12-16,국도,6
579,고양이,2019-12-16,국도,일반국도25호선
580,고라니,2019-12-16,국도,일반국도36호선
581,너구리,2019-12-16,시도,시청2로
582,고양이,2019-12-16,국도,구성지례로
583,고라니,2019-12-16,국도,일반국도14호선
584,고라니,2019-12-16,국도,국도우회로
585,고라니,2019-12-16,국도,일반국도23호선
586,고라니,2019-12-16,국도,일반국도22호선
587,고양이,2019-12-16,지방도,순성로
588,꿩,2019-12-16,국도,45
589,고라니,2019-12-16,국도,일반국도22호선
590,고양이,2019-12-16,국도,일반국도14호선
591,고라니,2019-12-16,국도,일반국도3호선
592,삵,2019-12-16,국도,일반국도38호선
593,삵,2019-12-16,국도,예영로
594,고라니,2019-12-16,국도,일반국도1호선
595,고라니,2019-12-16,국도,일반국도3호선
596,고라니,2019-12-16,고속국도(재정),호남고속도로
597,고라니,2019-12-16,고속국도(재정),호남고속도로
