,지역,가맹점명,분류,주소,Latitude,Longitude
6983,경남,해운개발(주)통도해운온천타운,숙박,경남 양산시 하북면 삼수온천길 54-14 (삼수리),35.4633431,129.0733157
8133,강원,동강할미꽃펜션,숙박,강원 정선군 정선읍 동강로 2652-3,37.3528577,128.6211622
18606,경기,미르센,도서,경기도 용인시 기흥구  흥덕2로87번길 17 세림프라자 2층 204호,37.2751276,127.0718852
20418,울산,종로서적 울산점,도서,울산광역시 북구  진장17길 10 메가마트 3층 종로서적,35.5623562,129.3564579
5446,강원,상유재,숙박,강원 정선군 정선읍 정선로 1323,37.3794521,128.6607881
21331,경북,칠곡호국평화기념관,미술,경북 칠곡군 석적읍 강변대로 1580,36.0791865,128.4036058
10142,경남,제일카메라,미술,경남 진주시 남강로659번길 12-1,35.1921667,128.083593
6143,전남,진보각여관,숙박,전남 고흥군 봉래면 축정2길103(신금리),34.4639663,127.4545577
5400,강원,모텔워커힐,숙박,강원 강릉시 홍제로 85번길 14,37.7544463,128.8824704
11156,충북,반지대학 청주캠퍼스,문화체험,"충북 청주시 상당구 상당로 91번길 44, 302호(북문로1가) ",36.6364367,127.4877882
5179,강원,브이브이 (VV) 호텔,숙박,강원 강릉시 교동  1868-4,37.7661519,128.8778198
2817,서울,밀크티,미술,서울 강남구 언주로151길 17 지하1층,37.5217977,127.031994
16383,제주,제주에코스위트,숙박,제주 서귀포시 중문상로 207-13,33.2696393,126.4289254
10379,인천,노벨사진관,미술,"인천 부평구 부평문화로 167, 1층 ",37.4938987,126.7348686
23125,부산,아이나무태권도,체육시설,부산광역시 사상구  엄궁남로 46 조원빌딩 1층 아이나무태권도,35.1241032,128.9724544
21514,경기,YB악기,음악,경기도 성남시 분당구  불정로65번길 4-2 YB악기,37.3602164,127.1120283
6799,경북,주식회사 계림관광,여행사,경북 경주시 태종로 695 (노서동),35.8387128,129.2041888
9175,제주,노을과포도향기,숙박,제주 제주시 애월읍 신상로 238-2,33.4511838,126.3655877
15696,광주,주식회사 레크플레이미디어센터,문화체험,광주광역시 광산구  신창로106번길 15-19 광주 새에덴교회 1층 주식회사 레크플레이미디어센터,35.195343,126.8389511
1699,경북,주식회사글로리(문덕온천),관광지,경북 포항시 남구 오천읍 문덕로11번길 17 (문덕리),35.9618794,129.4049894
12455,경북,인량전통테마마을영농조합법인,관광지,경북 영덕군 창수면 인량길 178 (인량리),36.5523238,129.3710579
20617,전남,한국가사문학관(담양군청),미술,전남 담양군 가사문학면 가사문학로 877,35.1878121,127.0048176
11879,경북,대경승마,체육시설,경북 경산시 경안로102길 26,35.8512737,128.7295
4576,경기,디지털영상,미술,경기 수원시 팔달구 인계동 1122-10 삼호타워 523,37.2611842,127.0350003
18799,강원,베니키아 호텔 산과바다 속초,숙박,강원도 속초시  동해대로 3707,38.1676863,128.6073346
1016,충남,(주)브이아이피투어,교통수단,충남 아산시 용화동  475-4,36.7634622,126.993802
13824,강원,대화버스터미널,교통수단,강원 평창군 대화면 1012-7 대화버스터미널,37.500372,128.452862
20977,경기,롯데컬처웍스㈜롯데시네마 수원(수원역),영상,경기도 수원시 권선구  세화로 118 롯데몰5층 (서둔동),37.2653782,126.9959828
21736,충북,마노엘,문화체험,"충청북도 청주시 청원구  율량로 156 1층, 103호(율량동 베스트빌 2)",36.6637801,127.5113835
19941,경기,한도당구장,체육시설,경기도 의정부시  신흥로231번길 20 한도빌딩 1층,37.7368783,127.0422771
18069,강원,이사부사자공원 도계유리마을(도계유리공예협동조합),미술,강원도 삼척시  수로부인길 333 이사부사자공원 도계유리마을,37.4747602,129.1594067
12748,전남,화예도요,미술,전라남도 강진군 대구면 청자해안길 317,34.4889695,126.7926442
16039,경기,CGV 야탑,영상,경기도 성남시 분당구  성남대로925번길 16 분당종합터미널 테마폴리스빌딩 지하2층,37.4130885,127.1270976
20238,전북,(유)세진렌트카,교통수단,전북 군산시 공단대로 604-1(소룡동),35.9727523,126.681201
17480,서울,삼천리자전거 드림스포츠점,체육용품,서울특별시 마포구  성암로11길 14,37.5735629,126.9023718
6819,경북,보령장모텔,숙박,경북 포항시 남구 장기면 동해안로 3945,35.9268481,129.5149034
6967,경북,수오재펜션,숙박,경북 경주시 배반중리길 71-20 (배반동),35.8213848,129.2511365
21923,전남,숙이네점빵,문화체험,전라남도 곡성군 곡성읍 낙동원로 23,35.2833862,127.3003416
