,번호,생태통로명,주소,도로명,도로번호,차선_수,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,관리기관,생태통로유형,설치기관,설치년도
345,1365,영동선 228.80k,강원도 강릉시 성산면 보광리,,(고속국도 50호선),왕복4차선,37,44.0,51.68,128,47.0,23.97,한국도로공사,터널형,한국도로공사,2001
346,1366,중앙선 333.46k,강원도 횡성군 횡성읍 갈풍리,,(고속국도 55호선),왕복4차선,37,29.0,16.79,127,56.0,59.24,한국도로공사,터널형,한국도로공사,200110
347,1367,동해선 90.30k(잔교육교),강원도 양양군 현북면 하광정리,,(고속국도 65호선),왕복4차선,38,0.0,21.82,128,42.0,53.12,한국도로공사,육교형,한국도로공사,200912
348,1368,서울양양선 70.31k,강원도 홍천군 북방면 성동리,,(고속국도 60호선),왕복4차선,37,45.0,19.11,127,52.0,52.49,한국도로공사,터널형,한국도로공사,200908
349,1369,청주상주선 41.10k(갈평육교),충청북도 보은군 마로면 갈평리,,(고속국도 30호선),왕복4차선,36,27.0,18.18,127,50.0,53.02,한국도로공사,육교형,한국도로공사,200712
350,1370,청주상주선 24.55k,충청북도 보은군 수한면 교암리,,(고속국도 30호선),왕복4차선,36,28.0,21.39,127,40.0,2.57,한국도로공사,터널형,한국도로공사,200712
351,1371,청주상주선  19.42k,충청북도 보은군 회인면 애곡리,,(고속국도 30호선),왕복4차선,36,28.0,54.59,127,36.0,50.49,한국도로공사,터널형,한국도로공사,200712
352,1372,청주상주선 19.58k(애곡육교),충청북도 보은군 수한면 건천리,,(고속국도 30호선),왕복4차선,36,28.0,52.3092,127,36.0,53.0064,한국도로공사,육교형,한국도로공사,200712
353,1373,당진대전선 53.60k(영정육교),충청남도 공주시 신풍면 영정리,,(고속국도 30호선),왕복4차선,36,30.0,59.67,127,0.0,0.3384,한국도로공사,육교형,한국도로공사,200912
354,1374,당진대전선 61.60k(상서육교),충청남도 공주시 우성면 상서리,,(고속국도 30호선),왕복4차선,36,29.0,11.22,127,4.0,45.9768,한국도로공사,육교형,한국도로공사,200912
355,1375,당진대전선 68.10k,충청남도 공주시 의당면 청룡리,,(고속국도 30호선),왕복4차선,36,29.0,41.98,127,8.0,41.51,한국도로공사,터널형,한국도로공사,200912
356,1376,서해안선 243.45k(운산터널),충청남도 서산시 운산면 신창리,,(고속국도 15호선),왕복4차선,36,45.0,43.218,126,34.0,15.6792,한국도로공사,육교형,한국도로공사,200112
357,1377,당진대전선 1.30k(사기소육교),충청남도 당진시 당진읍 사기소리,,(고속국도 30호선),왕복4차선,36,50.0,32.23,126,37.0,30.46,한국도로공사,육교형,한국도로공사,200912
358,1378,익산장수선 11.40k,전라북도 완주군 용진면 상삼리,,(고속국도 20호선),왕복4차선,35,52.0,53.27,127,11.0,8.26,한국도로공사,양서 파충류 통로,한국도로공사,200712
359,1379,중부선 143.42k,전라북도 장수군 계북면 원촌리,,(고속국도 35호선),왕복4차선,35,46.0,47.95,127,36.0,44.50,한국도로공사,터널형,한국도로공사,200112
360,1380,익산장수선 45.60k,전라북도 진안군 진안읍 물곡리,,(고속국도 20호선),왕복4차선,35,46.0,29.92,127,28.0,12.04,한국도로공사,터널형,한국도로공사,200712
361,1381,무안광주선 24.90k,전라남도 나주시 문평면 대도리,,(고속국도 10호선),왕복4차선,35,4.0,36.48,126,38.0,19.54,한국도로공사,육교형,한국도로공사,200712
362,1382,무안광주선 16.94k,전라남도 함평군 학교면 마산리,,(고속국도 10호선),왕복4차선,35,3.0,27.91,126,33.0,21.59,한국도로공사,터널형,한국도로공사,200712
363,1383,중부내륙선 182.70k,경상북도 문경시 문경읍 마원2리,,(고속국도 45호선),왕복4차선,36,43.0,3.09,128,6.0,13.19,한국도로공사,육교형,한국도로공사,200412
364,1384,청주상주선 76.21k,경상북도 상주시 낙동면 운평리,,(고속국도 30호선),왕복4차선,36,22.0,17.89,128,11.0,51.94,한국도로공사,터널형,한국도로공사,200712
365,1385,청주상주선 59.66k,경상북도 상주시 내서면 고곡리,,(고속국도 30호선),왕복4차선,36,25.0,33.93,128,2.0,38.10,한국도로공사,터널형,한국도로공사,200712
366,1386,청주상주선 57.67k,경상북도 상주시 내서면 서원리,,(고속국도 30호선),왕복4차선,36,25.0,44.64,128,1.0,22.29,한국도로공사,터널형,한국도로공사,200712
367,1387,중부내륙선 146.90k,경상북도 상주시 헌신동,,(고속국도 45호선),왕복4차선,36,25.0,44.58,128,12.0,49.29,한국도로공사,육교형,한국도로공사,200312
368,1388,대구포항선 27.90k,경상북도 영천시 매산동,,(고속국도 20호선),왕복6차선,36,1.0,49.10,128,54.0,30.12,한국도로공사,육교형,한국도로공사,200412
369,1389,대구포항선 19.40k,경상북도 영천시 청통면 신덕리,,(고속국도 20호선),왕복6차선,35,58.0,38.835904736712,128,50.0,29.967422000892,한국도로공사,육교형,한국도로공사,200412
370,1390,대구포항선 33.70k,경상북도 영천시 화남면 죽곡리,,(고속국도 20호선),왕복6차선,36,3.0,12.72,128,57.0,50.19,한국도로공사,육교형,한국도로공사,200412
371,1391,대구포항선 56.80k,경상북도 포항시 북구 기계면 지가리,,(고속국도 20호선),왕복6차선,36,4.0,59.36,129,11.0,42.64,한국도로공사,육교형,한국도로공사,200412
372,1392,중부선 46.76k,경상남도 진주시 정촌면 화개리,,(고속국도 35호선),왕복4차선,35,8.0,3.96,128,6.0,43.03,한국도로공사,터널형,한국도로공사,200512
373,1393,중부선 28.76k,경상남도 고성군 대가면 송계리,,(고속국도 35호선),왕복4차선,35,2.0,59.66,128,16.0,10.78,한국도로공사,양서 파충류 통로,한국도로공사,200512
