iter	Logloss
659	0.2763150005
660	0.2762300852
661	0.2760094139
662	0.2759132634
663	0.2758043262
664	0.2757013022
665	0.2755646253
666	0.2755436192
667	0.2753288881
668	0.2752293791
669	0.2751878973
670	0.2751133912
671	0.2750895866
672	0.2750667338
673	0.27498975
674	0.274929165
675	0.2748563335
676	0.2748182597
677	0.2747119581
678	0.2745561081
679	0.2744687708
680	0.2744527497
681	0.2744286127
682	0.2744023318
683	0.274396511
684	0.2743176501
685	0.2742019823
686	0.2741591156
687	0.2740666791
688	0.2740275956
689	0.2739967348
690	0.2739077149
691	0.2738743776
692	0.2738454421
693	0.2738072264
694	0.2737247089
695	0.2736033314
696	0.273542698
697	0.2734840351
698	0.2733883639
699	0.2732531064
700	0.2731679469
701	0.2731155498
702	0.2729776727
703	0.272916031
704	0.2728276567
705	0.2726587406
706	0.2725879712
707	0.2725615145
708	0.2724757799
709	0.272413819
710	0.2723787188
711	0.2723130133
712	0.2721923377
713	0.2720668041
714	0.2720641501
715	0.2720640313
716	0.2719352026
717	0.2718908328
718	0.2718051152
719	0.2717114314
720	0.2716488635
721	0.2716163797
722	0.2714930106
723	0.2713751911
724	0.2712574917
725	0.271163139
726	0.2710298574
727	0.2709467632
728	0.2708532336
729	0.2708085783
730	0.270745118
731	0.2706743594
732	0.2705905817
733	0.2704193544
734	0.2703483944
735	0.2702852164
736	0.270119813
737	0.2700638
738	0.2700248688
739	0.2699755014
740	0.26991319
741	0.2698510822
742	0.2698066536
743	0.2697332142
744	0.2695709398
745	0.2694985889
746	0.2694188766
747	0.2693689352
748	0.2692822507
749	0.2692192077
750	0.2691237788
751	0.2690046022
752	0.2690024482
753	0.26898562
754	0.268935175
755	0.2688207262
756	0.2687467771
757	0.2686362538
758	0.2685774259
759	0.2685212234
760	0.2684074979
761	0.268300085
762	0.2682662344
763	0.2682564961
764	0.2682225966
765	0.2682218738
766	0.2681644306
767	0.2681480408
768	0.268145544
769	0.2680683209
770	0.2679355617
771	0.2678546733
772	0.2677653474
773	0.2676549875
774	0.2675225315
775	0.267460093
776	0.2674148568
777	0.2673830651
778	0.2673404652
779	0.2673272328
780	0.2672526756
781	0.2671371978
782	0.2671006133
783	0.2669499198
784	0.2667603722
785	0.2666509557
786	0.2666305424
787	0.2665990611
788	0.2665510486
789	0.2665316964
790	0.2664834296
791	0.2664426178
792	0.2664008535
793	0.2663617401
794	0.266328607
795	0.2662960393
796	0.266260437
797	0.2662031157
798	0.2660945911
799	0.2660569471
800	0.2659505642
801	0.265850493
802	0.265726319
803	0.2655867907
804	0.2654992637
805	0.2654061859
806	0.2653699317
807	0.2653276547
808	0.2652564788
809	0.2651965658
810	0.2651856859
811	0.2651340541
812	0.2650341473
813	0.264976932
814	0.264958472
815	0.2648995569
816	0.264855802
817	0.2648228341
818	0.2647054312
819	0.2646443238
820	0.2645945635
821	0.2645629997
822	0.2645217447
823	0.2644871089
824	0.2644484476
825	0.2643067598
826	0.2642181117
827	0.2641796688
828	0.2640787604
829	0.2640081328
830	0.2638632675
831	0.2638203625
832	0.2637297017
833	0.2636428311
834	0.2635277378
835	0.2634776771
836	0.2634710973
837	0.2634298763
838	0.2633737798
839	0.2633304548
840	0.2631543012
841	0.2631298519
842	0.26306645
843	0.263039647
844	0.262963886
845	0.262886976
846	0.2627999363
847	0.2626871703
848	0.262634408
849	0.2625951409
850	0.2625702319
851	0.2625199327
852	0.2624143946
853	0.2623380427
854	0.262179716
855	0.2620602551
856	0.2619698969
857	0.2619096817
858	0.2617997393
859	0.2617814959
860	0.2617597745
861	0.2617535368
862	0.2616659132
863	0.2616101163
864	0.2616033061
865	0.2615784575
866	0.2615611507
867	0.2615078168
868	0.2614358557
869	0.2614054439
870	0.2613139583
871	0.2612860483
872	0.2611562303
873	0.2610859247
874	0.2609808971
875	0.2608788008
876	0.2607801777
877	0.2606993278
878	0.2606310057
879	0.2605402163
880	0.2604344215
881	0.2603158481
882	0.2602935798
883	0.2602713833
884	0.2602062403
885	0.2601454451
886	0.2601079403
887	0.2599839877
888	0.2599587421
889	0.2599230827
890	0.2598487567
891	0.2597723037
892	0.25969481
893	0.259674873
894	0.2595574702
895	0.2594622749
896	0.2594012181
897	0.2593794818
898	0.2592736743
899	0.2591755158
900	0.2590094873
901	0.2589154689
902	0.258808884
903	0.2587493039
904	0.2587149538
905	0.2586713774
906	0.2586558588
907	0.2586482412
908	0.2585473816
909	0.2584982847
910	0.2584309166
911	0.2583458609
912	0.258276401
913	0.2582388863
914	0.2582157583
915	0.2581380825
916	0.2580733239
917	0.2579370434
918	0.2578826155
919	0.2577908966
920	0.2577610579
921	0.2577470393
922	0.2577159976
923	0.2577050221
924	0.2576863608
925	0.2576432252
926	0.2575352622
927	0.2574030028
928	0.2573781983
929	0.2572905759
930	0.2572439541
931	0.2571599394
932	0.257048672
933	0.2569604289
934	0.2569191516
935	0.2567995121
936	0.256685727
937	0.2566675628
938	0.2565175944
939	0.256432552
940	0.2564294335
941	0.2563041599
942	0.2562298566
943	0.2561245779
944	0.2560666742
945	0.2560221948
946	0.2558587664
947	0.2558145353
948	0.2556487979
949	0.2555527708
950	0.2554931429
951	0.2554280363
952	0.2553415139
953	0.2552678167
954	0.2552610797
955	0.2551904378
956	0.2551183253
957	0.2550767156
958	0.2550444696
959	0.254994088
960	0.2549265883
961	0.254841907
962	0.2547168706
963	0.2546824963
964	0.2545893426
965	0.2545243317
966	0.2544030959
967	0.2543503801
968	0.2542932259
969	0.2541808303
970	0.2541282128
971	0.2540506207
972	0.2540340043
973	0.2539616151
974	0.2538818234
975	0.2538163139
976	0.2537887386
977	0.2537479837
978	0.2536394587
979	0.2535775904
980	0.2534414776
981	0.2533901913
982	0.2532730519
983	0.2532182766
984	0.253198852
985	0.2531633714
986	0.2530315635
987	0.253007259
988	0.2529652702
989	0.2528395614
990	0.252766202
991	0.2526588654
992	0.2526448593
993	0.2525346422
994	0.2523653895
995	0.2522925459
996	0.2522095973
997	0.2521733433
998	0.2521559421
999	0.2521283631
